Name_name,Name_Phone,Name_username_name,Name_username_selection1
The Brick Pub & Grill,(425) 207-8951,Mike C.,"Very good food
Crab cakes were amazing gourmet
The Philly cheese was very tender and juicy"
The Brick Pub & Grill,(425) 207-8951,Michelle M.,
The Brick Pub & Grill,(425) 207-8951,Kim W.,
The Brick Pub & Grill,(425) 207-8951,Eric O.,
The Brick Pub & Grill,(425) 207-8951,Mike H.,
The Brick Pub & Grill,(425) 207-8951,Amira J.,
The Brick Pub & Grill,(425) 207-8951,Kristy R.,
The Brick Pub & Grill,(425) 207-8951,Amber Lee A.,"Good food, in a location you wouldn't expect. I drove up to meet a friend and just assumed it was a gas station. I've now been twice and all the items I have tried were very good."
The Brick Pub & Grill,(425) 207-8951,Lena Y.,
The Brick Pub & Grill,(425) 207-8951,Chelsi A.,
The Brick Pub & Grill,(425) 207-8951,Henry L.,"Came here on a Sunday night with a few friends. It's was around 8pm.
Place was pretty slow with a couple other patrons. Server was welcoming and pretty cool. We had a table by the window. There was a lot of space.
I had a cocktail called Rob Roy. It was average.
Appetizer was crab cakes. It was surprisingly a lot. Came with 2 patties the size of a bk whopper.
Entree was was seared ahi tuna. It was decent. Tuna tasted fresh. Visually, it looked pretty light. But it got me pretty full. Maybe because the crab cakes were so huge. Overall, I can't give too many points for vibes, since it was a Sunday night. Flavors for pretty average, but quality of ingredients keep it above average. I'd say if you're looking for a chill place to have a conversation, this is a good place. If you're a flavor hunter, it's pretty average."
The Brick Pub & Grill,(425) 207-8951,Mike S.,"Food was good, beers were cold service was a bit slow but it all worked out. Good atmosphere, friendly staff, fair food portions. Good place to chill."
The Brick Pub & Grill,(425) 207-8951,Deanna D.,
The Brick Pub & Grill,(425) 207-8951,Leslie W.,The Brick recently changed their menu again. I miss the Cajun chicken sandwich. I only eat white meat and was glad to have this on the menu. The have since removed it. I asked the server if I could have the chicken sandwich from the old menu and he said yes. WHoooHOOOO. Unfortunately when it came out it is not the same sandwich. It is sliced chicken on a bun. This does not make a good sandwich. The pieces kept falling out of the bread. It was a horrible way to eat. The original was the reason I came to the brick repeatedly. Since that sandwich is gone I don't find anything comparable on the menu. Guess I will have to find another Cajun chicken somewhere else.
The Brick Pub & Grill,(425) 207-8951,Stephen G.,"Our second visit to the Brick Pub. First visit a few months back was not bad.
It took at least 15 minutes for the waiter to come to our table. We ordered drinks and dinner. It took around another 10 minutes for the waiter to bring the drinks over. She was doubling as a bartender too. It took around 40 more minutes to get our food...that's almost an hour since we got there. Not acceptable. Fish from fish and chips was over fried and hard. My wife's flank steak order was sirloin tip according to her, and it was pink on the inside though she ordered it medium well.
All in all, we were pretty disappointed..."
The Brick Pub & Grill,(425) 207-8951,Brad B.,
The Brick Pub & Grill,(425) 207-8951,Koren C.,"Best dang pork chop I've ever had!
From the outside it looks a little sketchy, but this was a VERY good restaurant! A must try!!
Great beers, good happy hour, even better food!
Thanks "" the brick"""
The Brick Pub & Grill,(425) 207-8951,Senor C.,"This place was SO good. The owner is really cool and the music is always fun.
With that said...
I have now had three bad meals in a row and I am ready to stop trying. That is big bucks I will never get back. How do you screw up a BLT? The bacon was so overcooked that it was more like burnt bacon dust than meat. The ""Philly cheese steak"" was not good and didn't even come with the advertised aioli sauce. My fries sucked and were cold. How on Earth can you make a bad cheese steak? I don't even remember what they screwed up before that but I still remember the dissapointment coupled with a 70 dollar check.
I have had everything on the menu in the past and it ALL used to be good.
Now, I am afraid to order anything.
I sure hope they fix it back to the way it was. There is nothing like this place in the highlands."
The Brick Pub & Grill,(425) 207-8951,Rich L.,"Just wanted to thank the blonde haired girl and bearded guy working tonight for showing racism. We walked in approx 30 mins ago and sat down at the table next to the bar. No acknowledgement even though both of them looked straight at us. Blonde girl started cleaning one of the machines and the bearded guy just kept talking to his friends. We sat the table for 15 mins and neither of them brought a menu or said Hi to us. After I began staring at the girl wondering why we were being ignored, a white couple came in and sat at the bar. Within 30 seconds he had poured them waters and took their order. He made their drinks and we had yet to be greeted or brought a drink menu. Every person in the bar was white including the couple that came in. Coincidence??? Thank you for ruining our evening and reaffirming that asian people are not welcome at the pub."
The Brick Pub & Grill,(425) 207-8951,Andrea I.,"We found this gem on Yelp, and another fantastic find it was. It has local beer on tap that my husband really liked and I had a ""Fru-Fru"" drink the Lavender Mule which was amazing. As if the great drinks weren't enough the food was just as amazing. Ordered the Pastrami Melt and it was some of the best tasting pastrami I have had.
The waitress was very informative and helpful, she knew her products and had answers to all our our questions.
This place is quite a find and it is worth the visit."
The Brick Pub & Grill,(425) 207-8951,Marz S.,
The Brick Pub & Grill,(425) 207-8951,Kendra F.,"Came here tonight, so happened to be trivia night. Good vibe, fun addition to play trivia as well. Our waiter was attentive and kept our drinks full. Great selection of beers here as well. I ordered the fish and chips, pretty average fish and chips. But the atmosphere, service and beer selection would bring me back to try some other items ."
The Brick Pub & Grill,(425) 207-8951,Olivere C.,
The Brick Pub & Grill,(425) 207-8951,Flavia A.,
The Brick Pub & Grill,(425) 207-8951,Christine P.,
The Brick Pub & Grill,(425) 207-8951,Ana G.,
The Brick Pub & Grill,(425) 207-8951,Mavis E.,Stopped in on a Sunday night coming home from SeaTac. Our GPS actually took us to the wrong bar but we kept looking because we knew it was by a gas station. Comfortable atmosphere and very welcoming. I had the Black and Blue salad it was great with lots of blue cheese dressing. My husband had the chicken sandwich he said it was really good and tasted home made. He loved the dip for the fries. We had two great dark beers on tap. Our waitress was the best. Definitely coming back next trip to SeaTac.
The Brick Pub & Grill,(425) 207-8951,Brian R.,"I came to this place several times because I loved the atmosphere. But tonight I realize that the owner is completely disconnected from his or her customer base. The heat was off, it was one cook and one bartender. And they spent the entire evening apologizing. The food was incredible and the bartender was great but please help me understand how you put kosher salt in the salt shaker and expect it to come out. This may seem trivial. But cmon Micah!!!! You place one bartender and your amazing cook between you and your customer base. Grow a pair.... I won't be back ... I'm headed towards Gators in Kent ... by by baby"
The Brick Pub & Grill,(425) 207-8951,Jay H.,
The Brick Pub & Grill,(425) 207-8951,Anna V.,"First time here but it took really really long to get any service. Say down at 5:34pm left at 8:27pm. The server forgot a couple things and ended up comping several food items/drinks. I also notice two other tables get up and leave because the service was slow. I'm not sure if it was the server himself or if they were under staffed for the evening but it got irritating towards the end.
The food was average, pretty typical of a restaurant like this."
The Brick Pub & Grill,(425) 207-8951,Rose W.,
